"CRUISE6","PURPOSE_CODE","PURPOSE","STATUS_CODE","STATUS","SEASON","YEAR"
"198370","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1983"
"198470","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1984"
"198570","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1985"
"198670","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1986"
"198770","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1987"
"198870","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1988"
"198970","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1989"
"199070","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1990"
"199170","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1991"
"199270","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1992"
"199370","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1993"
"199470","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1994"
"199570","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1995"
"199670","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1996"
"199770","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1997"
"199870","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1998"
"199970","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","1999"
"200070","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2000"
"200170","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2001"
"200270","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2002"
"200370","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2003"
"200470","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2004"
"200570","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2005"
"200670","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2006"
"200770","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2007"
"200870","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2008"
"200970","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2009"
"201070","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2010"
"201170","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2011"
"201270","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2012"
"201370","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2013"
"201470","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2014"
"201570","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2015"
"201670","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2016"
"201770","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2017"
"201870","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2018"
"201970","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2019"
"202170","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2021"
"202270","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2022"
"202370","40","NMFS NEFSC SHRIMP SURVEY","10","Audited","SUMMER","2023"
